Unnamed: 0,item_title,item_picture,item_link,item_brand,item_color,item_price,item_description,item_size,item_initial_views,item_current_views,item_location,item_date_added,item_initial_followers,item_current_followers,query,session_token,date_scrapped,status,raindrop_id,raindrop_last_update,raindrop_collection,raindrop_sort,raindrop_collection_id,item_date_sold,days_elapsed,item_initial_followers2,item_current_followers2,item_price2,gained_views,gained_likes,trend_coefficient,view_score,like_score,item_rating,item_rating_normalized,item_price_normalized,item_final_rating,popularity_score,brand_price,brand_low_price_index
47,,,https://www.vinted.fr/herren/kleidung/anzuge-and-blazer/anzugsets/3035021686-completo-boggi-milano,,,,,,,,,,,,,,,,576593024,2023-05-23T13:54:38.348Z,,,32960014,,,,,,,,,,,,,,,,,
48,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/blazers/3005458303-blazer-vintage-laine-taille-xl,,,,,,,,,,,,,,,,576593022,2023-05-23T13:54:36.930Z,,,32960014,,,,,,,,,,,,,,,,,
49,,,https://www.vinted.fr/uomo/vestiti/completi-e-blazer/pantaloni-da-completo/2994731988-pantalone-vintage,,,,,,,,,,,,,,,,576593019,2023-05-23T13:54:35.577Z,,,32960014,,,,,,,,,,,,,,,,,
50,,,https://www.vinted.fr/hombre/ropa/trajes-y-blazers-1789/3013592634-completo-gessato-uomo-boggi-milano,,,,,,,,,,,,,,,,576537422,2023-05-23T13:54:34.105Z,,,32960014,,,,,,,,,,,,,,,,,
51,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/autres/2298783234-abito-uomo-grigio-boggi-milano,,,,,,,,,,,,,,,,576537421,2023-05-23T13:54:32.756Z,,,32960014,,,,,,,,,,,,,,,,,
52,,,https://www.vinted.fr/hombre/ropa/trajes-y-blazers/pantalones-de-traje/3042432222-pantaloni-uomo,,,,,,,,,,,,,,,,576537418,2023-05-23T13:54:31.436Z,,,32960014,,,,,,,,,,,,,,,,,
53,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/blazers/3040734462-giacca-uomo-boggi,,,,,,,,,,,,,,,,576537414,2023-05-23T13:54:30.131Z,,,32960014,,,,,,,,,,,,,,,,,
54,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/ensembles-costume/2994743604-costume-charles-tyrwhitt-taille-40r-en-excellent,,,,,,,,,,,,,,,,576537412,2023-05-23T13:54:28.814Z,,,32960014,,,,,,,,,,,,,,,,,
55,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/blazers/3038737892-veste-dhiver-hackett,,,,,,,,,,,,,,,,576537410,2023-05-23T13:54:25.578Z,,,32960014,,,,,,,,,,,,,,,,,
56,,,https://www.vinted.fr/uomo/vestiti/completi-e-blazer/altri-completi-e-blazer/2919631536-pantaloni-loro-piana-tg48,,,,,,,,,,,,,,,,576537409,2023-05-23T13:54:24.333Z,,,32960014,,,,,,,,,,,,,,,,,
57,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/pantalons-de-costume/2835315309-pantalone-in-lana-loro-piana-grigio-cenere-tendente-al-nero,,,,,,,,,,,,,,,,576537407,2023-05-23T13:54:22.945Z,,,32960014,,,,,,,,,,,,,,,,,
58,,,https://www.vinted.fr/heren/kleding/pakken-en-blazers/pakken-en-kostuums/3042455345-vitale-barberis-canonicos-suit-size-50,,,,,,,,,,,,,,,,576537405,2023-05-23T13:54:21.638Z,,,32960014,,,,,,,,,,,,,,,,,
59,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/blazers/3033326952-veste-croisee-vintage-prince-de-galles,,,,,,,,,,,,,,,,576537401,2023-05-23T13:54:20.335Z,,,32960014,,,,,,,,,,,,,,,,,
60,,,https://www.vinted.fr/men/clothes/suits-and-blazers/suit-trousers/3007756974-pantaloni-con-pences-in-lana-vintage,,,,,,,,,,,,,,,,576537400,2023-05-23T13:54:19.044Z,,,32960014,,,,,,,,,,,,,,,,,
